time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.03951e-320	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714003	0.587993	7.09127	-2.21504e-17	1.31718e-17	radar	73.9424	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16106	0.493435	7.09378	-0.0687377	-0.00826211	lidar	0.184053	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27647	0.513634	7.08911	0.191206	0.0385169	radar	1.80979	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61391	0.59459	7.10901	0.245012	0.0529551	lidar	0.19942	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82224	0.569805	6.30948	0.0938685	-0.0557041	radar	4.18974	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15273	0.616042	6.32459	0.108583	-0.0280703	lidar	0.161602	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36846	0.644929	5.54784	0.0946353	-0.181612	radar	7.12708	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64559	0.668519	5.55162	0.0834797	-0.190533	lidar	0.00589444	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91282	0.658889	5.46915	0.0277368	-0.381866	radar	0.361167	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14664	0.657071	5.42507	0.0120145	-0.362579	lidar	1.04528	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43512	0.549514	5.4714	-0.151717	-0.850447	radar	1.57717	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74034	0.433952	5.55577	-0.285124	-1.12767	lidar	2.34193	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01932	0.51978	5.53072	-0.139397	-0.560377	radar	4.00541	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29309	0.511447	5.50836	-0.133824	-0.477287	lidar	0.315556	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55107	0.552033	5.38196	-0.0864212	-0.316107	radar	1.71014	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73211	0.665758	5.16794	0.0241325	-0.0445716	lidar	11.7531	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98362	0.663878	5.07854	0.0145208	-0.0583267	radar	1.21458	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28405	0.65563	5.15524	-0.000146052	-0.0816809	lidar	2.95484	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54435	0.660734	5.25009	0.00197323	-0.0703559	radar	1.90848	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84056	0.673604	5.30164	0.00586324	-0.0591005	lidar	1.81683	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08188	0.599882	5.17557	-0.0479407	-0.13874	radar	3.34846	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33471	0.71166	5.15055	0.0252427	-0.019691	lidar	3.82008	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58474	0.742104	5.10548	0.0389241	0.00106839	radar	0.376562	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83069	0.740053	5.09266	0.0322941	-0.00783208	lidar	0.167053	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07193	0.723333	4.95729	0.017379	-0.0270914	radar	2.11115	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28707	0.805172	4.9035	0.0593868	0.0275726	lidar	2.76356	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58518	0.815	5.13774	0.0570782	0.022883	radar	5.21737	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83711	0.795001	5.13035	0.0406303	0.00236329	lidar	0.423732	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08533	0.811376	5.01678	0.0434396	0.00502135	radar	2.20397	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.32148	0.82911	4.99429	0.0474082	0.00926938	lidar	0.295338	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59521	0.91156	5.19709	0.0808368	0.0453677	radar	7.07228	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83524	0.969878	5.16914	0.100569	0.0640212	lidar	0.831524	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12737	1.00605	5.23914	0.106963	0.0670664	radar	6.8239	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36648	1.04076	5.20596	0.113802	0.0708085	lidar	0.653439	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64824	1.10842	5.27278	0.132443	0.0859712	radar	4.56321	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92675	1.23248	5.31432	0.172855	0.122007	lidar	3.62003	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1737	1.31217	5.16115	0.193921	0.137315	radar	5.20171	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.397	1.39405	5.12081	0.214706	0.151285	lidar	1.44262	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6274	1.46553	4.94882	0.230801	0.160306	radar	3.54896	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8474	1.5048	4.91081	0.232835	0.154633	lidar	0.867881	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.116	1.55419	5.0215	0.235004	0.148769	radar	2.10487	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3957	1.6102	5.07745	0.238883	0.14505	lidar	1.93138	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.626	1.66239	5.0036	0.244246	0.143453	radar	0.631876	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8538	1.73149	4.98346	0.255385	0.147404	lidar	0.312832	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1135	1.81688	5.10897	0.268794	0.152871	radar	1.66606	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3553	1.85739	5.09115	0.266085	0.142758	lidar	0.388389	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6128	1.91987	5.18002	0.269585	0.138788	radar	0.720808	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8157	2.04735	5.13231	0.301909	0.163916	lidar	3.72806	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0868	2.1525	5.28346	0.317235	0.170213	radar	3.07724	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.294	2.28999	5.24206	0.349673	0.193983	lidar	3.18265	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4726	2.41245	4.99333	0.379642	0.215866	radar	11.8088	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
